VC(V)             IC(A)
 1.000000E-1 3.736904E-4
2.000000E-1 2.329996E-3
3.000000E-1 2.807447E-3
4.000000E-1 2.998576E-3
5.000000E-1 3.125407E-3
6.000000E-1 3.205862E-3
7.000000E-1 3.246908E-3
8.000000E-1 3.263430E-3
9.000000E-1 3.271580E-3
1.000000E+0 3.277838E-3
1.100000E+0 3.282978E-3
1.200000E+0 3.287405E-3
1.300000E+0 3.291689E-3
1.400000E+0 3.295830E-3
1.500000E+0 3.299711E-3
1.600000E+0 3.303476E-3
1.700000E+0 3.307098E-3
1.800000E+0 3.310648E-3
1.900000E+0 3.314154E-3
2.000000E+0 3.317710E-3
2.100000E+0 3.321184E-3
2.200000E+0 3.324518E-3
2.300000E+0 3.328006E-3
2.400000E+0 3.331049E-3
2.500000E+0 3.334468E-3
2.600000E+0 3.337779E-3
2.700000E+0 3.340875E-3
2.800000E+0 3.344102E-3
2.900000E+0 3.347155E-3
3.000000E+0 3.350370E-3
3.100000E+0 3.353461E-3
3.200000E+0 3.356767E-3
3.300000E+0 3.359789E-3
3.400000E+0 3.362932E-3
3.500000E+0 3.365907E-3
3.600000E+0 3.368998E-3
3.700000E+0 3.371974E-3
3.800000E+0 3.374903E-3
3.900000E+0 3.377833E-3
4.000000E+0 3.380776E-3
4.100000E+0 3.383737E-3
4.200000E+0 3.386603E-3
4.300000E+0 3.389328E-3
4.400000E+0 3.392326E-3
4.500000E+0 3.395164E-3
4.600000E+0 3.398020E-3
4.700000E+0 3.400835E-3
4.800000E+0 3.403790E-3
4.900000E+0 3.406484E-3
5.000000E+0 3.409539E-3
5.100000E+0 3.412185E-3
5.200000E+0 3.415263E-3
5.300000E+0 3.418160E-3
5.400000E+0 3.421019E-3
5.500000E+0 3.423861E-3
5.600000E+0 3.426831E-3
5.700000E+0 3.429596E-3
5.800000E+0 3.432349E-3
5.900000E+0 3.435172E-3
6.000000E+0 3.438027E-3
6.100000E+0 3.440807E-3
6.200000E+0 3.443441E-3
6.300000E+0 3.446265E-3
6.400000E+0 3.448946E-3
6.500000E+0 3.451736E-3
6.600000E+0 3.454383E-3
6.700000E+0 3.457023E-3
6.800000E+0 3.459761E-3
6.900000E+0 3.462339E-3
7.000000E+0 3.465058E-3
7.100000E+0 3.467550E-3
7.200000E+0 3.470179E-3
7.300000E+0 3.472915E-3
7.400000E+0 3.475446E-3
7.500000E+0 3.478111E-3
7.600000E+0 3.480854E-3
7.700000E+0 3.483490E-3
7.800000E+0 3.486316E-3
7.900000E+0 3.489018E-3
8.000000E+0 3.491576E-3
8.100000E+0 3.494516E-3
8.200000E+0 3.497174E-3
8.300000E+0 3.499787E-3
8.400000E+0 3.502506E-3
8.500000E+0 3.505205E-3
8.600000E+0 3.508034E-3
8.700000E+0 3.510647E-3
8.800000E+0 3.513132E-3
8.900000E+0 3.515943E-3
9.000000E+0 3.518537E-3
9.100000E+0 3.521277E-3
9.200000E+0 3.523928E-3
9.300000E+0 3.526707E-3
9.400000E+0 3.529306E-3
9.500000E+0 3.531988E-3
9.600000E+0 3.534495E-3
9.700000E+0 3.536977E-3
9.800000E+0 3.539548E-3
9.900000E+0 3.542164E-3
1.000000E+1 3.544682E-3
